NAME,NCOMP,MSINI,A,PER,ECC,OM,T0,K,BINARY
Kepler-348 b,2,4.34521,0.0720019,7.05677,0,90,2454965.532,2.965,0
Kepler-360 c,2,6.49858,0.0728812,7.186434,0,90,2454969.623,32.72,0
Kepler-345 b,2,4.102525,0.0744222,7.415563,0,90,2454970.815,38.25,0
Kepler-391 b,2,18.25245,0.0744302,7.416755,0,90,2454970.959,38.97,0
Kepler-60 b,3,0.07782815,0.0750769,7.1316185,0,90,2451351.55,4.0525,0
Kepler-363 c,3,6.889225,0.0752686,7.542427,0,90,2454965.954,4.52,0
Kepler-332 b,3,3.087335,0.0758257,7.626324,0,90,2454969.017,29.55,0
Kepler-380 c,2,10.193,0.0758501,7.630004,0,90,2454970.081,34.3,0
KIC 11442793 b,7,0.29456825,0.0761616,7.008151,0,90,2451273,3.9,0
Kepler-447 b,1,1.36628,0.0769686,7.79430132,0.123,98.3,2450120.5,141,0
Kepler-83 b,3,0.229477,0.0778725,9.77,0,90,2451547.35,4.879055,0
Kepler-85 b,4,0.2561625,0.0780663,8.306,0,90,2451465,4.49,0
Kepler-394 b,2,0.005826158,0.0783155,8.005013,0,90,2454971.711,41.85,0
Kepler-341 c,4,3.80322,0.0783507,8.01041,0,90,2454968.315,24.2,0
Kepler-80 c,4,0.18391775,0.0788018,9.522,0,90,2451531.55,4.8232775,0
Kepler-49 c,4,0.04083615,0.07889,10.9129343,0,90,2451633.35,5.5725,0
Kepler-330 b,2,3.00359,0.0799685,8.25978,0,90,2454986.983,84.75,0
Kepler-40 b,1,2.17681,0.0806644,6.87349,0,90,2455005.52,179,0
Kepler-75 b,1,9.98356,0.0807413,8.884924,0.569,63.6,2455002.991,1288,0
Kepler-353 c,2,4.93973,0.0809409,8.410894,0,90,2454966.805,9.3,0
Kepler-331 b,3,3.06531,0.0812396,8.457496,0,90,2454966.87,9.9,0
Kepler-422 b,1,0.43015,0.0812822,7.8914483,0.016,90,2455010.25,40,0
Kepler-444 f,5,0.028062325,0.0813861,9.740486,0.29,90,2454967.879,19.65,1
Kepler-361 b,2,6.559995,0.081426,8.486616,0,90,2454971.017,39,0
Kepler-54 c,3,0.0539232,0.0822829,12.0717249,0,90,2451836.34,6.1825,0
Kepler-50 b,2,0.043820975,0.0825598,7.8125124,0,90,2451396.35,4.2575,0
Kepler-74 b,1,0.665099,0.0827067,7.340718,0.287,64,2454967.04,58,0
Kepler-84 b,5,0.24215625,0.08295,8.726,0,90,2451494.9,4.66789,0
Kepler-402 d,4,0.01324535,0.0841819,8.921099,0,90,2454970.491,36.9,0
Kepler-343 b,2,4.022065,0.0844802,8.96855,0,90,2454972.39,46.11,0
Kepler-431 c,3,0.02117525,0.0847193,8.703,0,90,2451484,4.555,0
Kepler-400 b,2,0.0109165,0.0848304,9.024389,0,90,2454966.538,6.6,0
Kepler-48 c,3,0.0456363,0.0851485,9.67395,0,90,2451544.98,4.74,0
Kepler-393 b,2,11.3153802,0.0858179,9.182417,0,90,2454967.048,12,0
Kepler-63 b,1,0.102002275,0.0869107,9.4341505,0,90,2455010.843,235.45,0
Kepler-345 c,2,4.1124,0.0870905,9.387427,0,90,2454970.381,35.95,0
Kepler-60 c,3,0.07945145,0.0871504,8.9193459,0,90,2451502.25,4.728945,0
KIC 11442793 c,7,0.295867,0.088103,8.719375,0,90,2451489.4,4.616445,0
Kepler-336 c,3,3.33761,0.0884004,9.600001,0,90,2454969.582,32.4,0
Kepler-81 c,3,0.209937,0.0885967,12.04,0,90,2451823.5,6.095,0
Kepler-337 c,2,3.4079,0.0889716,9.693201,0,90,2454965.812,4.185,0
Kepler-53 d,3,0.052295025,0.0893308,9.751962,0,90,2454971.785,42.85,0
Kepler-58 b,3,0.071735,0.0905953,10.2184954,0,90,2451551.354,5.33,0
Kepler-68 c,3,0.00627171,0.0907017,9.605085,0,90,2454969.381,0.57,0
Kepler-385 b,2,11.7846,0.0911035,10.043686,0,90,2455186.625,0.844,0
Kepler-352 b,2,4.709265,0.0911742,10.05537,0,90,2455006.233,168.8165,0
Kepler-427 b,1,0.310432,0.091351,10.290994,0,90,2454970.022,29.8,0
Kepler-55 f,5,0.059807525,0.0920376,10.198545,0,90,2454970.917,38.62,0
Kepler-362 b,2,6.62922,0.0928099,10.327186,0,90,2454972.379,45.65,0
Kepler-62 c,5,0.085667925,0.0928559,12.4417,0.186815,254.476,2454960.666,1.493,0
Kepler-50 c,2,0.0452998,0.0932375,9.3761368,0,90,2451512.25,4.7875,0
Kepler-392 c,2,22.21255,0.0933838,10.423118,0,90,2454968.153,23.4,0
Kepler-339 d,3,3.52373,0.0941898,10.558345,0,90,2454969.347,31.85,0
Kepler-57 c,2,0.07034505,0.0942979,11.6092567,0,90,2451670.5,5.6825,0
Kepler-405 b,2,0.01677505,0.0945195,10.613839,0,90,2455196.737,1.685,0
Kepler-365 b,2,7.12787,0.0948224,10.664903,0,90,2454965.01,2.235,0
Kepler-435 b,1,0.854333,0.0948432,8.6001536,0.114,104,2450130.25,64,0
Kepler-355 b,2,5.126595,0.0969854,11.03189,0,90,2455195.338,1.6425,0
Kepler-350 b,1,4.490105,0.0979073,11.189562,0,90,2454973.631,49.55,0
Kepler-402 e,4,0.013713625,0.098218,11.242861,0,90,2454969.317,31.7,0
Kepler-398 c,2,0.008805225,0.0992436,11.419412,0,90,2454975.118,55.255,0
Kepler-89 c,4,0.27305525,0.101317,10.423648,0.43,90,2451212.555,3.565,0
Kepler-404 b,2,0.01592305,0.101608,11.829851,0,90,2454970.618,37.66,0
Kepler-387 c,2,13.5662,0.101652,11.837549,0,90,2454975.212,55.65,0
Kepler-363 d,3,6.93052,0.102192,11.932125,0,90,2454975.105,55.055,0
Kepler-95 b,1,0.29085275,0.102439,11.5231,0,90,2450834.85,3.36,0
Kepler-37 b,3,0.00958399,0.102457,13.367308,0,90,2455017.033,0.95,0
Kepler-85 c,4,0.25877875,0.102591,12.513,0,90,2451849.19,6.235,0
Kepler-52 c,3,0.049685625,0.10281,16.3850021,0,90,2451910.18,6.44,0
Kepler-59 b,2,0.07483165,0.103167,11.8681707,0,90,2451714.915,5.8425,0
Kepler-375 b,2,9.39527,0.103296,12.125934,0,90,2454975.104,54.9,0
Kepler-394 c,2,0.005950038,0.103323,12.130686,0,90,2454972.897,46.7,0
Kepler-382 c,2,11.04725,0.103505,12.162701,0,90,2454970.533,37.235,0
Kepler-349 c,2,4.47241,0.103986,12.247629,0,90,2454971.217,40,0
Kepler-56 b,2,0.06260385,0.104248,10.5034294,0,90,2451574.708,5.5025,0
Kepler-386 b,2,12.6575,0.104341,12.31043,0,90,2454974.863,52.35,0
Kepler-431 d,3,0.021609925,0.104497,11.922,0,90,2451804.35,5.9925,0
Kepler-69 b,2,0.11145325,0.104565,13.722341,0.16,90,2454964.681,1.96,0
Kepler-377 b,2,9.881765,0.105463,12.509529,0,90,2454970.008,33.95,0
Kepler-366 c,2,7.289975,0.1055,12.51616,0,90,2454968.029,21.345,0
Kepler-60 d,3,0.080697325,0.105629,11.9016171,0,90,2451772.415,5.935,0
Kepler-333 b,2,3.16177,0.105697,12.551158,0,90,2454970.261,35.3,0
Kepler-334 c,3,3.232105,0.106855,12.758005,0,90,2454966.958,10.11,0
Kepler-347 b,2,4.218335,0.10708,12.79836,0,90,2454966.648,7.85,0
Kepler-84 c,5,0.245462,0.107552,12.883,0,90,2451866.69,6.305,0
Kepler-383 b,2,11.0871,0.107672,12.904532,0,90,2454977.32,60.45,0
Kepler-390 c,2,17.7812,0.108535,13.060022,0,90,2454977.331,60.65,0
Kepler-356 c,2,5.27397,0.108876,13.121632,0,90,2454966.393,6.26,0
Kepler-388 c,2,14.7417,0.109844,13.297004,0,90,2454973.948,49.79945,0
Kepler-381 c,2,10.3716,0.110364,13.391635,0,90,2454966.055,4.765,0
Kepler-338 b,3,3.45873,0.112199,13.726976,0,90,2454971.748,42.055,0
Kepler-434 b,1,2.85432,0.114265,12.8747099,0.131,82,2447489.42,221,0
Kepler-79 b,4,0.157395,0.114456,13.485,0.015,191.31,2450279.5,2.9,0
Kepler-376 c,2,9.83136,0.114613,14.172327,0,90,2454975.598,56.85,0
Kepler-36 b,2,6.074685,0.115423,13.83989,0,90,2454960.975,1.565,0
Kepler-401 b,2,0.0121742,0.115746,14.383035,0,90,2454973.56,49.1,0
Kepler-399 b,3,0.00950476,0.115973,14.425281,0,90,2454969.752,33.35,0
Kepler-389 c,2,16.4764,0.116434,14.51143,0,90,2454976.86,59.15,0
Kepler-393 c,2,0.00522337,0.11698,14.613612,0,90,2454973.412,48.3,0
Kepler-404 c,2,0.01658715,0.117713,14.751166,0,90,2454970.138,34.8,0
Kepler-340 b,2,3.569185,0.118208,14.844387,0,90,2454976.583,58.2,0
Kepler-369 c,2,7.6656,0.118353,14.871572,0,90,2454970.691,38,0
Kepler-33 c,5,2.89833,0.118876,13.17562,0,90,2454976.676,58.2,0
Kepler-62 d,5,0.091810025,0.119499,18.16406,0.0948683,108.435,2455014.579,277.05,0
Kepler-385 c,2,12.0743,0.119895,15.163161,0,90,2454977.457,61.43,0
Kepler-342 b,3,3.993785,0.119932,15.170318,0,90,2454965.663,3.33,0
Kepler-58 c,3,0.07257565,0.119982,15.5741568,0,90,2451892.87,6.3825,0
Kepler-330 c,2,3.04878,0.124035,15.955387,0,90,2454976.304,58,0
Kepler-332 c,3,3.1067,0.124244,15.995622,0,90,2454977.238,60.15,0
Kepler-378 b,2,9.99178,0.124744,16.092361,0,90,2454975.513,56.3,0
Kepler-96 b,1,0.0261659,0.125499,16.23844,0,90,2450090.325,2.1,0
Kepler-83 c,3,0.23272625,0.125924,20.09,0,90,2451925.25,6.6225,0
Kepler-352 c,2,4.815855,0.125984,16.332995,0,90,2454969.906,33.7,0
Kepler-373 c,2,8.631275,0.127997,16.725948,0,90,2454976.749,58.35,0
Kepler-36 c,2,6.167525,0.128401,16.23855,0,90,2454955.913,0.935,0
Kepler-357 c,3,5.535405,0.128672,16.85837,0,90,2454975.343,56.1,0
Kepler-354 c,3,5.02129,0.129058,16.934402,0,90,2454970.268,35.75,0
Kepler-348 c,2,4.38911,0.130735,17.265427,0,90,2454968.357,24.3,0
Kepler-331 c,3,3.069105,0.130814,17.28111,0,90,2454969.008,29.3,0
Kepler-400 c,2,0.0114769,0.131115,17.340824,0,90,2454971.967,43.1,0
Kepler-365 c,2,7.205295,0.13334,17.784129,0,90,2454979.905,68.7,0
Kepler-85 d,4,0.2605255,0.133985,17.91323,0,90,2454968.538,25.85,0
Kepler-59 c,2,0.07642255,0.136086,17.9801235,0,90,2451917.95,6.4975,0
Kepler-53 b,3,0.050148775,0.136705,18.6489525,0,90,2451920.95,6.565,0
Kepler-49 e,4,0.04221095,0.137369,18.596108,0,90,2454974.264,50.8,0
Kepler-370 c,2,7.720085,0.139463,19.02293,0,90,2454972.662,46.55,0
Kepler-37 c,3,0.0107883,0.139784,21.301886,0.0984886,66.038,2455012.44,0.92,0
Kepler-9 b,3,0.248865,0.140548,19.243158,0.150841,18.5551,2455089.7,19.09,0
Kepler-410 A b,1,0.0174972,0.142508,17.833648,0.17,90,2451188.51,3.505,0
Kepler-375 c,2,9.58151,0.144132,19.986326,0,90,2454968.523,25.6354,0
Kepler-372 c,3,8.19389,0.144457,20.053763,0,90,2454969.58,32.325,0
Kepler-379 b,2,10.01225,0.144671,20.09838,0,90,2455040.576,584,0
Kepler-391 c,2,19.08765,0.146522,20.485435,0,90,2454979.924,69.7003,0
Kepler-336 d,3,3.355505,0.147443,20.678772,0,90,2454984.691,80.8,0
Kepler-81 d,3,0.2119965,0.148198,20.837846,0,90,2454965.08,2.36,0
Kepler-54 d,3,0.055582475,0.148945,20.995694,0,90,2454985.32,82,0
Kepler-448 b,1,0.0344824,0.151393,17.8552333,0,228,2450363.26,2.9275,0
Kepler-344 b,2,4.068765,0.15349,21.963945,0,90,2454966.036,4.69289,0
Kepler-55 b,5,0.05686575,0.153688,27.9481449,0,90,2452000.339,7.22625,0
Kepler-397 b,2,0.007321528,0.154824,22.250949,0,90,2454982.431,76.3,0
Kepler-39 b,1,18.1767,0.155007,21.0874,0.121,98.9,2454973.006,1251,0
Kepler-384 b,2,11.4117,0.156426,22.597053,0,90,2454973.42,48.35,0
Kepler-340 c,2,3.57717,0.157474,22.824669,0,90,2454977.466,61.98,0
Kepler-343 c,2,4.043155,0.159296,23.22182,0,90,2454984.066,79.2965,0
Kepler-346 c,2,4.16255,0.162163,23.851549,0,90,2454980.617,73.2,0
Kepler-333 c,2,3.18222,0.163234,24.08821,0,90,2454967.425,14.0659,0
Kepler-354 d,3,5.079695,0.163783,24.209842,0,90,2454974.476,51.95,0
Kepler-338 c,3,3.47688,0.164238,24.310856,0,90,2454970.041,34.1,0
Kepler-82 b,4,0.21347725,0.16455,26.444,0,90,2451980.809,7.1375,0
Kepler-33 d,5,2.92555,0.166175,21.77596,0,90,2455022.8,416.1645,0
Kepler-56 c,2,0.0658797,0.167568,21.4050484,0,90,2451945.25,6.735,0
Kepler-334 d,3,3.260955,0.167766,25.09849,0,90,2454978.569,64.095,0
Kepler-386 c,2,13.12075,0.168189,25.193458,0,90,2454979.432,67.2,0
Kepler-85 e,4,0.2639365,0.168293,25.216751,0,90,2454985.688,82.55,0
Kepler-359 b,3,5.8611,0.169831,25.563222,0,90,2455208.284,1.875,0
Kepler-364 b,2,6.998075,0.170638,25.745718,0,90,2454968.951,28.95,0
Kepler-355 c,2,5.17243,0.170712,25.762294,0,90,2454980.705,73.48045,0
Kepler-438 b,1,0.0237891,0.171702,35.23319,0,90,2455673.031,2.3975,0
Kepler-342 c,3,4.004025,0.17279,26.234138,0,90,2454974.999,54.15,0
Kepler-89 d,4,0.302867,0.173437,23.342989,0.022,90,2451124.538,18.3,0
Kepler-399 c,3,0.010207523,0.174723,26.67569,0,90,2454982.999,78.75,0
Kepler-368 b,2,7.514835,0.175473,26.84768,0,90,2454975.168,55.4,0
Kepler-377 c,2,9.934585,0.176201,27.014976,0,90,2454965.508,2.945,0
Kepler-347 c,2,4.276265,0.177529,27.320871,0,90,2454987.306,84.9,0
Kepler-84 e,5,0.2490215,0.178021,27.434389,0,90,2454978.125,63.2,0
Kepler-341 d,4,3.882325,0.179022,27.666313,0,90,2454976.868,59.2,0
Kepler-79 c,4,0.1678685,0.183622,27.402,0.03,227.73,2450349,2.9125,0
Kepler-378 c,2,10.00525,0.184331,28.906009,0,90,2454991.822,91.3,0
Kepler-405 c,2,0.016967675,0.187804,29.726682,0,90,2456560.204,2.745,0
Kepler-372 d,3,8.22332,0.189342,30.092568,0,90,2454982.031,75.35,0
Kepler-383 c,2,11.1378,0.193962,31.200751,0,90,2454973.076,47.1,0
Kepler-46 b,2,0.035229025,0.1969,33.60134,0.01,270,2455053.294,1248.5,0
Kepler-331 d,3,3.07339,0.197812,32.134328,0,90,2454975.268,55.97,0
Kepler-55 c,5,0.05782355,0.202122,42.1516418,0,90,2452050.5,7.69,0
Kepler-358 b,2,5.69348,0.20564,34.060467,0,90,2454974.363,51.75,0
Kepler-332 d,3,3.132395,0.206247,34.21154,0,90,2454987.577,87.29,0
Kepler-371 b,2,7.76054,0.208459,34.763278,0,90,2454994.735,94.41,0
Kepler-395 c,2,0.006528538,0.209361,34.989262,0,90,2454977.223,59.75,0
Kepler-37 d,3,0.0057744,0.212021,39.792187,0.102489,107.021,2455006.722,0.4,0
Kepler-33 e,5,2.948575,0.213825,31.7844,0,90,2454968.8,27.5,0
Kepler-52 d,3,0.049812725,0.215129,36.445171,0,90,2454984.601,80.35,0
Kepler-351 b,2,4.51731,0.217522,37.054919,0,90,2455033.2,549.3,0
Kepler-367 b,2,7.345695,0.22049,37.815724,0,90,2454974.098,49.94945,0
Kepler-362 c,2,6.73644,0.220686,37.866281,0,90,2454967.358,13.1,0
Kepler-53 c,3,0.051101525,0.221868,38.5583038,0,90,2452027.795,7.415,0
Kepler-430 b,2,0.020484175,0.224449,35.968,0,90,2452012.295,7.28,0
Kepler-9 c,3,0.16858,0.22473,38.90861,0.132575,348.69,2455106.7,10.2,0
Kepler-342 d,3,4.01445,0.226833,39.459357,0,90,2454969.462,31.95,0
Kepler-58 d,3,0.07352275,0.229287,40.101371,0,90,2454965.718,3.71,0
Kepler-48 d,3,0.0379946,0.229818,42.8961,0,90,2450977.15,1.57,0
Kepler-341 e,4,3.938385,0.238241,42.473269,0,90,2454979.278,66.04025,0
Kepler-338 d,3,3.47866,0.245507,44.431014,0,90,2454976.542,58.15,0
Kepler-84 f,5,0.251542,0.245953,44.552169,0,90,2454993.291,91.5,0
Kepler-51 b,2,0.046313975,0.248169,45.1555023,0,90,2452071.453,8.06,0
Kepler-384 c,2,11.658,0.248874,45.348269,0,90,2454975.251,55.87,0
Kepler-33 f,5,2.96272,0.253499,41.02902,0,90,2455005.5,154.05,0
Kepler-401 c,2,0.012631,0.256031,47.318218,0,90,2455003.06,115.1,0
Kepler-82 c,4,0.21801525,0.256743,51.538,0,90,2452092.142,8.25,0
Kepler-61 b,1,0.081376775,0.257458,59.87756,0,90,2451008.93,3.1075,0
Kepler-357 d,3,5.602475,0.263841,49.499875,0,90,2454972.049,44.5,0
Kepler-47 b,2,0.03688805,0.267621,49.514,0,90,2451000.68,3.0925,1
Kepler-79 d,4,0.17024225,0.272969,52.09059,0.025,55.01,2454991.745,91.15,0
Kepler-367 c,2,7.43078,0.278143,53.578637,0,90,2455004.184,134.25,0
Kepler-46 c,2,0.036197875,0.280101,57.011,0.0146,298,2455053.283,1238,0
Kepler-403 c,2,0.0149689,0.280567,54.280749,0,90,2454973.717,49.65,0
Kepler-436 b,1,0.0224036,0.281824,64.00205,0,90,2454967.043,11.995,0
Kepler-361 c,2,6.610465,0.283685,55.188023,0,90,2455013.75,271.25,0
Kepler-437 b,1,0.0233232,0.286604,66.65062,0,90,2455670.688,2.3375,0
Kepler-351 c,2,4.60816,0.290701,57.24809,0,90,2455017.694,310.2,0
Kepler-359 c,3,5.93346,0.292189,57.68802,0,90,2454972.941,46.85,0
Kepler-399 d,3,0.010613125,0.293358,58.034616,0,90,2454971.733,42.005,0
Kepler-364 c,2,7.08017,0.29988,59.980627,0,90,2455009.15,217.5,0
Kepler-432 b,2,5.47081,0.301404,52.501129,0.5134,64.1,2455949.537,286.8,0
Kepler-89 e,4,0.0986881,0.304548,54.32031,0.019,90,2451114.661,4.5,0
KIC 11442793 d,7,0.29657775,0.307074,56.73667,0,90,2452111.644,8.4,0
Kepler-379 c,2,10.0388,0.309155,62.784697,0,90,2454990.304,89.55,0
Kepler-335 c,2,3.29369,0.325549,67.844469,0,90,2454982.499,77.2,0
Kepler-371 c,2,7.78918,0.325944,67.968015,0,90,2454996.563,97.05,0
Kepler-368 c,2,7.59913,0.339899,72.379334,0,90,2455012.534,258,0
Kepler-440 b,1,0.02458565,0.353207,101.11141,0,90,2455756.299,2.4725,0
Kepler-359 d,3,5.99565,0.354508,77.095691,0,90,2455035.674,571.375,0
Kepler-79 e,4,0.1730405,0.366575,81.065298,0.012,9.46,2454972.529,46.45,0
Kepler-419 b,2,0.0180779,0.370106,69.7546,0.833,95.2,2450108.15,2.815,0
Kepler-358 c,2,5.78961,0.373844,83.488369,0,90,2455021.538,382,0
Kepler-51 c,2,0.0477256,0.379271,85.3128662,0,90,2452125.344,8.525,0
Kepler-420 b,1,0.02026155,0.381935,86.647661,0.772,141.3,2458000,2.7725,1
Kepler-442 b,1,0.025749975,0.386141,112.3053,0,90,2455849.558,2.6425,0
KIC 11442793 e,7,0.29772275,0.423643,91.93913,0,90,2452142.5,8.7275,0
Kepler-62 e,5,0.096946025,0.426299,122.3874,0.13,292.62,2454932.038,0.7995,0
Kepler-38 b,1,10.0695,0.429659,105.595,0,90,2451027.75,3.1275,0
Kepler-430 c,2,0.020719375,0.4757,110.979,0,90,2452150,8.96,0
Kepler-87 b,2,0.26652525,0.477022,114.73635,0.036,238.6,2456193.706,2.7175,0
Kepler-35 b,1,4.47764,0.48628,131.458,0.042,11.6336,2454920.3,0.6695,1
Kepler-344 c,2,4.084765,0.490824,125.596809,0,90,2455048.442,855.15,0
